match_name,franchise,label,sponsor_name,sponsor_asset_type,sponsor_asset_location,sponsor_asset_visibility,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_partially_visible,Dream11,jersey,chest_logo_partially,visible,0.109206773,525.6738892,446.2633057,695.0496216,570.7645264
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_partially_visible,Dream11,jersey,chest_logo_partially,visible,0.268272728,802.8537598,334.789917,906.8203125,414.6418457
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_obstructed,Dream11,jersey,chest_logo,obstructed,0.224206373,800.8852539,340.7618408,907.0914307,421.0263062
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_blurry,AllSeasons,jersey,sleeve_logo,blurry,0.177547932,809.2546387,333.6221924,906.5649414,410.8911133
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,RayzonSolar_trousers_logo_partially_visible,RayzonSolar,trousers,logo_partially,visible,0.163888872,905.1078491,452.5582275,986.9994507,517.5653076
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.423311561,712.9440918,205.9563141,788.3620605,262.6599121
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_partially_visible,Dream11,jersey,chest_logo_partially,visible,0.397188097,621.3460083,264.1888428,738.8201294,338.2507324
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.330903083,705.0126953,213.0240784,750.6083984,258.3453674
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AvonCycles_trousers_logo_partially_visible,AvonCycles,trousers,logo_partially,visible,0.306645662,706.8042603,451.3068848,795.8093872,521.1488037
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_blurry,AllSeasons,jersey,sleeve_logo,blurry,0.274079025,724.3839111,202.7703247,790.4888916,260.7597961
