match_name,franchise,,label,sponsor_name,sponsor_asset_type,sponsor_asset_location,sponsor_asset_visibility,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,KentMineralRO_jersey_chest_logo_partially_visible,KentMineralRO,jersey,chest_logo,partially_visible,0.100307003,314.3217773,289.0205078,445.1334839,355.5432129
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.806729257,634.8553467,412.5993042,759.1539307,503.046814
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Encalm_trousers_logo_clear,Encalm,trousers,logo,clear,0.347039044,765.7243652,431.5308838,884.6567383,505.4075928
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Encalm_trousers_logo_partially_visible,Encalm,trousers,logo,partially_visible,0.107932776,161.0907898,530.2193604,231.1904297,578.4293213
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Dream11_jersey_chest_logo_clear,Dream11,jersey,chest_logo,clear,0.197377533,732.0675659,382.2036133,906.3623657,491.2402344
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,kshema_trousers_logo_clear,kshema,trousers,logo,clear,0.18156147,786.9593506,712.9650879,946.3023682,831.5166016
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,AvonCycles_trousers_logo_clear,AvonCycles,trousers,logo,clear,0.105923988,786.2327271,713.5407715,946.3231812,831.5612793
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Jio_jersey_shoulder_logo_blurry,Jio,jersey,shoulder_logo,blurry,0.388149768,782.7115479,258.5774536,838.5152588,322.8644409
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.349563956,162.7349548,452.680481,252.9425049,511.7365112
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Encalm_trousers_logo_partially_visible,Encalm,trousers,logo,partially_visible,0.155673206,163.678894,453.3873901,255.0994568,511.0241699
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo,partially_visible,0.143481627,209.1078796,366.5778198,258.1993103,421.9884644
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Dream11_jersey_chest_logo_obstructed,Dream11,jersey,chest_logo,obstructed,0.139970556,264.0526733,377.5322266,406.5654907,445.6647339
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,AllSeasons_jersey_chest_logo_blurry,AllSeasons,jersey,chest_logo,blurry,0.123832449,268.9684448,358.4884644,335.8910522,401.0751343
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,GMR_jersey_sleeve_logo_partially_visible,GMR,jersey,sleeve_logo,partially_visible,0.503942132,674.9044189,195.7236023,752.1873779,240.7740784
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Encalm_trousers_logo_partially_visible,Encalm,trousers,logo,partially_visible,0.4538185,578.9830322,397.2541504,663.6914063,470.5412598
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,EcoLink_cap_logo_partially_visible,EcoLink,cap,logo,partially_visible,0.351619303,313.6795959,284.109436,369.388092,331.5098267
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Freemans_cap_logo_blurry,Freemans,cap,logo,blurry,0.210961983,252.4689941,423.5182495,369.3764038,509.1763306
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,HeroFincorp_jersey_chest_logo_clear,HeroFincorp,jersey,chest_logo,clear,0.168943167,536.6950684,365.2593384,701.3696289,451.3598633
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Freemans_cap_logo_partially_visible,Freemans,cap,logo,partially_visible,0.146139711,309.9328003,283.9155273,373.6514282,335.0908203
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.811719179,811.8398438,443.5195313,906.6452637,506.9266968
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,HeroFincorp_jersey_chest_logo_clear,HeroFincorp,jersey,chest_logo,clear,0.700111508,702.0488281,211.7267456,831.5273438,276.4667969
Match_46_TATA_IPL_2025_DC_vs_RCB,Delhi Capitals,,Encalm_trousers_logo_clear,Encalm,trousers,logo,clear,0.138375342,707.7316895,459.4173279,814.6882324,526.5604248
