MatchID,Franchise,TimestampFrameNumber,AudioPeakScore,VisibleSponsorsDuringPeak
Match 60 DC VS GT,GUJRAT TITANS,516,0.07560107,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,520.32,0.0769205,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,523.68,0.07619126,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,527.04,0.075610705,"BKT, Equitas, Acko, Jio"
Match 60 DC VS GT,GUJRAT TITANS,530.4,0.07655647,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,533.28,0.0764413,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,535.68,0.07639199,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,540.48,0.07647373,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,543.36,0.0755307,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,546.24,0.0717229,"Dream11, Acko, Torrent_Group, LivPure, RayzonSolar, AstralPipes"
Match 60 DC VS GT,GUJRAT TITANS,549.12,0.07337402,"Dream11, Acko, Torrent_Group, LivPure, RayzonSolar, AstralPipes, Jio"
Match 60 DC VS GT,GUJRAT TITANS,553.44,0.07319573,"Jio, Dream11, Torrent_Group"
Match 60 DC VS GT,GUJRAT TITANS,557.28,0.07469655,"Jio, Dream11, Torrent_Group, Acko"
Match 60 DC VS GT,GUJRAT TITANS,563.04,0.07645834,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,566.88,0.075466484,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,571.2,0.07597773,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,574.56,0.0770034,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,578.4,0.076053426,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,581.76,0.12790443,Jio
Match 60 DC VS GT,GUJRAT TITANS,585.6,0.14328958,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,589.92,0.14439279,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,594.72,0.14608203,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,597.12,0.14315191,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,600.48,0.14708763,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,603.84,0.14650092,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,607.2,0.069543675,NO GT SPONSOR DETECTED
